,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
qqMetBour1_SOM,0.169332740543144,0.373001741321181,0.0388655477751843,0.0261446408061947,0.0113678633618614,0.00811048127153496,0.123859805120225,0.22683635285836,0.000914749360898077,0.0018398725501093,0.0121703530806565,0.00258234226223556,0.00109147493608981,0.000444963135860102,0.000129302360045941,9.18824793449668e-05,0.000602793523767182,0.000290837686636286,0.000134118780334185,0.000214886443629358,0.000637619947389871,2.44525953095476e-05,0.000171168167166833,0.000277499907376533,6.40954392204809e-05,4.4088770330851e-05,9.07709977399874e-05,4.74232151457893e-05,0.00044829758067504,4.00133377792598e-05,0.000127820384572635
qqMetSegm1_SOM,0.239958682939232,0.270762776506484,0.108387998982965,0.0253108314263921,0.161933002796847,0.127328375286041,0.0126957793033308,0.0139594457157386,0.00419082125603865,0.00169781337401475,0.0234776252224765,0.000615942028985507,0.000396008136282736,0.00172705314009662,0.000406178489702517,0.000109331299262649,0.000450673785914061,0.000116959064327485,5.84795321637427e-05,0.000128400711924739,0.00476290363590135,0.000143020594965675,0.00012649377065853,0.000443046020849225,8.1998474446987e-05,1.906941266209e-06,0.000232011187388762,7.30994152046784e-05,0.000268243071446733,6.73785914060514e-05,8.7719298245614e-05
qxSacCarc1_SOM,0.0271524306712577,0.50677440853049,0.015712910511311,0.0359424636232367,0.041204783590655,0.03720204376319,0.0180162168166167,0.00178310933392573,0.00756044281535784,0.00600614609944833,0.0238072494353734,0.000238439038838906,0.000108482357732608,0.000263245584805065,3.03602502869414e-05,4.96130919323189e-05,0.000175867303491429,0.000263986078714503,1.07371616868451e-05,5.22048206153504e-05,6.59039579399459e-05,0.000119219519419453,0.000278055462993817,0.273666925839535,0.00299900033322226,3.70246954718797e-07,3.22114850605354e-05,0.0001477285349328,0.00021844570328409,7.96030952645415e-05,3.73949424265985e-05
icAdaBipu1_SOM,0.0744214332675871,0.118772189349112,0.144659352399737,0.0154355687047995,0.023305802103879,0.182359878369494,0.0041629684418146,0.0111053583168968,0.00663543721236029,0.165905243261012,0.242165105193951,0.00157092373438527,0.00675706771860618,0.000186965811965812,0.000159023668639053,1.93129520052597e-05,0.000235042735042735,2.17784352399737e-05,1.64365548980934e-06,7.64299802761341e-05,0.000377218934911243,4.43786982248521e-05,6.45134779750164e-05,6.28698224852071e-05,9.45101906640368e-06,0.00113987508218277,0.000119986850756082,0.000138477975016437,5.91715976331361e-05,1.02728468113084e-05,1.7258382642998e-05
icAgoFuli1_SOM,0.139349072512648,0.232729623383924,0.244584223346449,0.0214566235712947,0.0270848791455874,0.0220565860970583,0.113901442758104,0.0122368371744426,0.00515795390668915,0.0028982574480045,0.00545549934420086,0.000257073262132284,0.00224433202173506,0.00114596215102117,0.000111673224658048,0.0203428892636313,0.147543938542252,0.00019861345325089,4.49690837549185e-06,3.22278433576916e-05,3.89732059209294e-05,0.000155143338954469,0.000134157766535507,5.13397039535319e-05,0.000468427955780401,1.72381487727188e-05,3.33520704515646e-05,0.000104553119730185,0.000129660858160015,7.49484729248642e-07,7.41989881956155e-05
icAgrCyan1_SOM,0.459890900961324,0.159217527386541,0.215372233400402,0.0297791191594008,0.0229863626201654,0.00760608093002459,0.00359937402190923,0.0513637379834563,0.00238139950816007,0.00678291974066622,0.000675162083612788,0.00021327967806841,0.00114732841493405,0.00150413592667114,0.000181533646322379,8.85311871227364e-05,0.000435054773082942,0.000186899172814666,0.000148893360160966,3.75586854460094e-05,0.000870109546165884,0.000184663536776213,4.15828303152247e-05,0.00012921976302258,5.72322825843953e-05,3.5770176615247e-06,0.034965347641404,1.38609434384082e-05,2.10149787614576e-05,7.42231164766376e-05,4.11357031075341e-05
icAgrMuri1_SOM,0.0875565929383869,0.22135489607647,0.0155644474083954,0.0545919010040384,0.0859912563447075,0.292863547108295,0.144174724908303,0.00509466118335742,0.0047601052202586,0.00242525286206513,0.0591615723759772,0.00019043384831981,0.00849653588233115,0.000633174020969953,0.00437442110333074,0.000341224852728687,0.0022863176614427,4.74232151457893e-05,1.11148160497944e-06,9.92923567114964e-05,5.37216109073395e-05,8.63250713200697e-05,0.00889259382757215,8.74365529250491e-05,0.000257122744618577,3.5567411359342e-05,3.70493868326479e-06,0.000233040643177355,0.00020414212144789,0.000100403838316476,3.70493868326479e-05
icAnaMacu3_SOM,0.224866703642078,0.0691310778332409,0.0764740247735256,0.0134268811240525,0.0715211684229987,0.132903309299316,0.0662129783693844,0.0133377703826955,0.0139685709003513,0.306303198373082,0.00303531151784064,0.000472545757071547,0.000243298206692549,0.000280273618044001,0.00578960990941024,0.000163801072286929,0.000105749676465151,8.83712331299686e-05,2.47735256054724e-05,3.25383619892771e-05,4.69587724163431e-05,4.21519689406545e-05,0.000127934923276021,0.000492142725087817,0.000140876317249029,0,0.000166019596968016,8.87409872434831e-06,0.000130892956184138,2.8101312627103e-05,0.000434091329266038
icApoCory1_SOM,0.159140418842288,0.115516254000337,0.0955549941047667,0.00786311829768121,0.231306495985627,0.205557801358711,0.013334456234911,0.00335354556173151,0.0183352984110943,0.00163101454157543,0.140044916063107,0.000252652854977261,0.000125203525910954,0.00156869350401437,0.000957835045758239,0.000195384874515749,0.000204929537926001,8.87092246364606e-05,5.55836280949975e-05,0.000759642917298299,4.21088091628769e-05,0.00186008646342148,5.27763741508057e-05,0.00144012127337039,0.000377294930099377,2.80725394419179e-05,7.07427993936332e-05,0.000126887878277469,2.75110886530796e-05,8.36561675369154e-05,4.37931615293919e-05
icCanRufa1_SOM,0.501945185185185,0.183052592592593,0.078997037037037,0.115008148148148,0.00949481481481482,0.0203755555555556,0.00864740740740741,0.0254548148148148,0.000842222222222222,0.0164681481481481,0.00165481481481481,0.000462222222222222,0.00206518518518519,0.0279859259259259,5.48148148148148e-05,0.000520740740740741,0.000648888888888889,0.000320740740740741,2.22222222222222e-06,0.000144444444444444,0.00160666666666667,1.7037037037037e-05,0.000865185185185185,0.000272592592592593,3.18518518518519e-05,0,0.0010362962962963,8.59259259259259e-05,0.00187037037037037,5.55555555555556e-05,1.25925925925926e-05
