,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
bAccGen1_SOM,0.295388537154282,0.131675774741753,0.0206237920693102,0.0408963678773742,0.0583192269243585,0.0129490169943352,0.0581209596801066,0.162131622792403,0.154302899033655,0.057211929356881,0.000647117627457514,0.000482839053648784,0.0010326557814062,0.00049950016661113,0.000290903032322559,0.00036321226257914,0.0011186271242919,0.00192269243585472,0.000448183938687104,0.000657780739753415,4.19860046651116e-05,3.03232255914695e-05,2.8323892035988e-05,3.99866711096301e-05,0.000144618460513162,2.13262245918027e-05,0.000506831056314562,1.66611129623459e-06,1.99933355548151e-06,8.66377874041986e-06,3.86537820726425e-05,5.19826724425192e-05
cmLunCruc20_SOM,0.337487333333333,0.0481893333333333,0.0238866666666667,0.310147333333333,0.211926666666667,0.00958,0.0126493333333333,0.000459333333333333,0.0264973333333333,0.00542266666666667,0.000942666666666667,0.001946,0.001258,0.00249,0.000209333333333333,0.00261533333333333,0.00012,0.000351333333333333,0.000435333333333333,0.001786,4.33333333333333e-05,3.06666666666667e-05,0.000119333333333333,0.000225333333333333,0.000113333333333333,2.33333333333333e-05,1.26666666666667e-05,1.26666666666667e-05,5.33333333333333e-06,1.86666666666667e-05,9.46666666666667e-05,0.000900666666666667
daBalNigr1_SOM,0.171699566522174,0.0324404801600534,0.0851857285761921,0.283126375458486,0.0462757585861954,0.0212250750250083,0.258349116372124,0.0191817272424141,0.00241947315771924,0.0017675891963988,0.0144581527175725,0.00102500833611204,0.00101167055685228,0.000108702900966989,0.000120706902300767,0.000185061687229076,0.000166055351783928,0.0099186395465155,0.0499563187729243,0.000114371457152384,2.90096698899633e-05,0.000691563854618206,6.96898966322107e-05,1.80060020006669e-05,4.86828942980994e-05,1.83394464821607e-05,4.66822274091364e-06,1.33377792597533e-06,4.33477825941981e-06,5.26842280760253e-05,0.000106702234078026,0.000219406468822941
daMisOron1_SOM,0.244724666666667,0.0747006666666667,0.0327026666666667,0.0766653333333333,0.01927,0.353771333333333,0.009166,0.0422006666666667,0.00113333333333333,0.0150353333333333,0.045388,0.026288,0.00859333333333333,0.000434,0.000158666666666667,0.000358,0.000279333333333333,0.000356666666666667,0.0442533333333333,0.003476,0.000255333333333333,8.53333333333333e-05,2e-06,3.33333333333333e-06,0.000183333333333333,8e-05,9.53333333333333e-05,8.26666666666667e-05,6.66666666666667e-07,5e-05,0.00018,2.66666666666667e-05
daPulDyse1_SOM,0.30167000333667,0.102474140807474,0.0237317317317317,0.0719863196529863,0.0159916583249917,0.0131224557891225,0.30638004671338,0.00256022689356023,0.00208441775108442,0.000992992992992993,0.0515455455455455,0.00127727727727728,0.00522722722722723,0.00044678011344678,0.000485151818485152,0.000298965632298966,0.0003003003003003,0.000923256589923257,0.0218501835168502,0.00334134134134134,0.00668568568568569,0.000991991991991992,0.000375709042375709,2.1021021021021e-05,8.60860860860861e-05,4.93827160493827e-05,1.33466800133467e-06,2.43576910243577e-05,1.56823490156823e-05,5.53887220553887e-05,0.0647797797797798,0.000223556890223557
daScuMino1_SOM,0.381036617842876,0.0356011984021305,0.00932756324900133,0.361030625832224,0.141619840213049,0.0113102529960053,0.0307789613848202,0.000358854860186418,0.00534487350199734,0.00107057256990679,0.000559920106524634,0.000728362183754993,0.000834886817576565,0.00128428761651132,0.000682423435419441,0.000298934753661784,0.000101198402130493,0.0121218375499334,0.00324500665778961,0.000882157123834887,7.65645805592543e-05,0.000694407456724367,7.32356857523302e-06,6.25832223701731e-05,7.3901464713715e-05,4.26098535286285e-05,0.000372170439414115,5.32623169107856e-06,7.98934753661784e-06,2.19707057256991e-05,0.000124500665778961,0.000292276964047936
daSolDulc1_SOM,0.300518355359765,0.154164464023495,0.175007342143906,0.217751835535977,0.032803720019579,0.0458830151737641,0.00946696035242291,0.0220176211453744,0.00617033773861968,0.000876162506118453,0.00376015663240333,0.000586882036221243,0.000883015173764072,0.000427312775330396,0.000166421928536466,0.000386196769456681,0.000205580029368576,0.00174008810572687,0.00265932452276065,0.0212770435633872,0.00249290259422418,0.000240822320117474,0.000127753303964758,2.05580029368576e-05,2.10474791972589e-05,7.9295154185022e-05,9.78952520802741e-07,0,1.95790504160548e-06,2.88790993636809e-05,0.000215369554576603,1.86000978952521e-05
dcCheAlbu1_SOM,0.581518284574468,0.0346678856382979,0.0151964760638298,0.0839923537234043,0.0107676196808511,0.0217606382978723,0.0101060505319149,0.000551529255319149,0.0564464760638298,0.00216988031914894,0.0798680186170213,0.0028344414893617,0.00227593085106383,0.000325797872340426,0.000206781914893617,0.00254554521276596,0.000162898936170213,8.90957446808511e-05,0.0489860372340426,0.0438846409574468,6.01728723404255e-05,3.9561170212766e-05,6.05053191489362e-05,6.64893617021277e-06,0.00010405585106383,7.34707446808511e-05,5.18617021276596e-05,2.3936170212766e-05,1.99468085106383e-06,0.00106848404255319,0.000152925531914894,0
dcPolAvic1_SOM,0.232153615461513,0.0507100966344552,0.0346811062979007,0.239970343218927,0.0143605464845052,0.00402365878040653,0.37308863712096,0.0128047317560813,0.00143218927024325,0.00412129290236588,0.000807064311896035,0.000506831056314562,0.00209596801066311,0.000124958347217594,0.00135788070643119,0.000482505831389537,0.000374875041652782,0.00138820393202266,0.0213365544818394,0.00283272242585805,3.03232255914695e-05,0.000287904031989337,9.99666777740753e-07,1.26624458513829e-05,4.56514495168277e-05,0.000261912695768077,0.000108297234255248,0.000123958680439853,2.8323892035988e-05,7.39753415528157e-05,0.000359213595468177,1.29956681106298e-05
ddAraThal4_SOM,0.539018060200669,0.0266508361204013,0.00440802675585284,0.316677591973244,0.00526755852842809,0.00526822742474916,0.00748428093645485,0.000558528428093645,0.00848361204013378,0.0008561872909699,0.000765886287625418,0.000379933110367893,0.00310167224080268,0.00101538461538462,0.000276254180602007,0.000139799331103679,0.000262876254180602,0.000960535117056856,0.000265551839464883,0.0759103678929766,3.41137123745819e-05,4.88294314381271e-05,1.07023411371237e-05,0.000102341137123746,0.000883612040133779,0.000160535117056856,0.00042742474916388,4.68227424749164e-06,8.69565217391304e-06,5.48494983277592e-05,0.000236120401337793,0.000276923076923077
