,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
iyAllPice1_SOM,0.469024016010674,0.0313322214809873,0.00490993995997332,0.0206290860573716,0.0848519012675117,0.114460306871248,0.122563042028019,0.112011340893929,0.00487858572381588,0.00266577718478986,0.00398532354903269,0.00146764509673115,0.000777184789859907,0.000365577051367578,0.00756437625083389,0.00103468979319546,0.0122088058705804,0.000178118745830554,0.000138759172781855,0.00174583055370247,0.000179452968645764,0.000126751167444963,0.000586390927284857,0.00180453635757171,0.000510340226817879
iyAmbArma1_SOM,0.340441644562334,0.0639137931034483,0.0105762599469496,0.0436538461538462,0.014934350132626,0.139058355437666,0.00686604774535809,0.217666445623342,0.00270159151193634,0.0100497347480106,0.00305039787798409,0.00239854111405836,0.0215928381962865,0.0027606100795756,0.0251810344827586,0.0670377984084881,0.00118766578249337,0.00220490716180371,0.000153846153846154,0.00148076923076923,0.000241379310344828,0.0103322281167109,0.00192241379310345,0.00816710875331565,0.0024263925729443
iyAmbArma2_SOM,0.0655207219251337,0.00766644385026738,0.00445120320855615,0.00248061497326203,0.363369652406417,0.00150534759358289,0.343833556149733,0.173829545454545,0.00111898395721925,0.00155147058823529,0.00945053475935829,0.000379010695187166,0.000433823529411765,0.000356951871657754,0.00274197860962567,0.000706550802139037,0.000352941176470588,0.0127479946524064,5.94919786096257e-05,0.00110360962566845,0.0052346256684492,9.62566844919786e-05,0.000147727272727273,0.000234625668449198,0.000626336898395722
iyAncNigr1_SOM,0.0409036287923855,0.285054134443783,0.00405056513979774,0.087390243902439,0.0728578227245687,0.0131683521713266,0.190230220107079,0.0366525877453896,0.0262688875669244,0.0107465794170137,0.00297858417608566,0.0851766805472933,0.00736585365853658,7.85246876859012e-05,0.114660916121356,0.0187787031528852,0.00117965496728138,0.000342653182629387,6.06781677572873e-05,0.000321832242712671,0.000190362879238548,0.000290898274836407,0.000645449137418203,0.000459250446162998,0.000146936347412255
iyAndBuce1_SOM,0.322951903807615,0.136303273213093,0.00372678690714763,0.013437541750167,0.00966399465597862,0.0432237808951236,0.321169004676019,0.00264128256513026,0.00438610554442218,0.0112271209084836,0.0688523714094856,0.00808951235804943,0.0231042084168337,0.000414161656646627,0.00311489645958584,0.0128797595190381,0.00884969939879759,0.000341349365397462,0.00114428857715431,0.000185036740146961,0.000436205744822979,0.000603206412825651,0.000657314629258517,0.00187307949231797,0.000724114896459586
iyAndDors1_SOM,0.65260120240481,0.137451569806279,0.00779091516366065,0.0133072812291249,0.0182705410821643,0.0101743486973948,0.00677822311289245,0.00481162324649299,0.00156045424181697,0.0836766867067468,0.0103386773547094,0.0305791583166333,0.000364061456245825,0.000309953239812959,0.00243420173680695,0.000313961255845023,0.0108296593186373,0.00120774883099532,0.00017434869739479,0.00180694722778891,0.00149298597194389,0.00092251169004676,0.00174148296593186,0.000442885771543086,0.000618570474281897
iyAndFulv1_SOM,0.179360371517028,0.262215479876161,0.0444984520123839,0.0127393188854489,0.0759461300309597,0.0152941176470588,0.195943653250774,0.00638699690402477,0.00297399380804954,0.0578445820433437,0.00308730650154799,0.0230674922600619,0.00862910216718266,0.000592569659442724,0.00252755417956656,0.00294303405572755,0.000291021671826625,0.000298452012383901,0.000120743034055728,0.000410526315789474,0.000229102167182663,0.000323839009287926,0.104003095975232,0.00019938080495356,7.36842105263158e-05
iyAndHaem1_SOM,0.405031480241125,0.00830609511051574,0.00680375083724046,0.157034829202947,0.195701272605492,0.0049330207635633,0.0465505693235097,0.00241326188881447,0.00104956463496316,0.128677160080375,0.0139095780308104,0.0164413931681179,0.000128600133958473,8.03750837240455e-05,0.000527796383121232,0.000192230408573342,0.00674748827863362,0.00039919624916276,2.47823174815807e-05,0.000672471533824514,0.000169457468184863,6.09511051574012e-05,0.000212993971868721,0.00333556597454789,0.000596115204286671
iyAndHatt1_SOM,0.0180874499332443,0.0143070761014686,0.0065607476635514,0.00570160213618158,0.420732977303071,0.0135213618157543,0.00792056074766355,0.0349492656875834,0.00111014686248331,0.00198331108144192,0.238117489986649,0.226162216288385,0.000427903871829105,0.000107476635514019,0.00106208277703605,0.000335113484646195,0.00133444592790387,0.000241655540720961,0.00232777036048064,0.00194726301735648,0.00172229639519359,0.000136181575433912,0.000136181575433912,0.00089652870493992,0.000170894526034713
iyAndMinu1_SOM,0.196719306049822,0.243253558718861,0.0483011565836299,0.113354982206406,0.0054088078291815,0.0981677046263345,0.227077846975089,0.0154074733096085,0.0012482206405694,0.00203825622775801,0.0142322064056939,0.0104088078291815,0.00812055160142349,0.000504893238434164,0.00315702846975089,0.00780649466192171,0.000744217081850534,0.00021797153024911,0.000208629893238434,0.00200667259786477,0.000250444839857651,0.000213078291814947,0.000331850533807829,0.000270907473309609,0.000548932384341637
