SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7	SBS8	SBS9	SBS10	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66
SBS1	1.0000000000000002	0.6601746060600274	0.6664873671347438	0.3518013579093108	0.5280180042894134	0.5550741348483438	0.9184260675402374	0.5792211211362982	0.2345126262634398	0.6680775235977918	0.5208022462112771	0.35045715124405213	0.7592894400408341	0.386460576703987	0.5461048164051028	0.43755163147000936	0.5827661415220867	0.5907362971200479	0.5756728395131794	0.46852714443615984	0.4027945333489333	0.21647394298541342	0.27087006518015916	0.4401528478289755	0.4444572336839238	0.4751550709391943	0.6829984895035225	0.4995510013991098	0.4010510571744076	0.6788732496156787	0.5986740471704741	0.49461083011645496	0.6307364150368089	0.4895171115766719	0.2866465647302496	0.42318345199863755	0.4900910317078633	0.25672067303192314	0.62503895818076	0.3643592469618338	0.3765350660149135	0.4729746787401471	0.36758223962627	0.5591586159581421	0.5179361144449325	0.34499405649271	0.5586232743420757	0.5559402502783642	0.44013818980835595	0.4928212552151742	0.5240671150694499	0.6001377417522552	0.5965717509721118	0.44892777769280456	0.472209721477478	0.5577753971292853	0.509543862501551	0.5009729190361192	0.4793349686275698	0.5399566440118132	0.5390049444036317	0.5146566443177997	0.28108785618926757	0.4896966783470029	0.5483348143157526	0.5487660843473983
SBS2	0.6601746060600274	0.9999999999999999	0.7877021792981481	0.6618453339642287	0.5778631202074281	0.7294185559634614	0.6286657053747293	0.14981615005048174	0.617810294506317	0.5845100927966456	0.571742780347129	0.5723746943347391	0.36176309034618126	0.40610835252948374	0.48895099310366874	0.44705131085130473	0.5005100139406435	0.6126365969660427	0.2357960629519522	0.3785572383669864	0.46227455668358103	0.26344881806618253	0.21968991928606807	0.6039006218271198	0.4441707755295584	0.26120399096794455	0.6967567801466618	0.4700517093382404	0.5518617409910954	0.664477406844429	0.7459035717308017	0.5543185663909587	0.5708654221973031	0.5187322523533384	0.3156326093846064	0.5081548010340942	0.626347362091748	0.23397531744995229	0.49582616042250877	0.3086975577089849	0.46988619075947996	0.4814813212894137	0.4253803192822774	0.7151806461312129	0.5791337024947418	0.36986786800019583	0.5649340088603408	0.5791486656019509	0.48610921423691067	0.49599356793081373	0.5116920996493136	0.5584112782253483	0.5141722458640355	0.48449359698989464	0.5155063351903985	0.6277135660480367	0.5607443638569474	0.5232014245628607	0.49145260214242525	0.5086251218845919	0.45649605490155426	0.6020457440686462	0.272095425325284	0.48157892337706437	0.6249964606079298	0.572012229264223
SBS3	0.6664873671347438	0.7877021792981481	1.0	0.34098011557506097	0.36741073800409524	0.5899444760736178	0.716633107981057	0.07076635371612951	0.30822206190642815	0.6147364352720327	0.6349198171820306	0.3359965636589178	0.24156991555333818	0.31730890926908806	0.5388454952722314	0.3869831779270171	0.4274371376573328	0.6420824710802405	0.18646493558911803	0.4837102256652235	0.47446882158617104	0.29925835287255614	0.18184140016123151	0.5955783602030879	0.3619418732915457	0.3839344483455776	0.6798571539428175	0.43105424134137926	0.45121122535866726	0.6462566961398418	0.6877995209608452	0.6041360576414976	0.6175785184290349	0.3101406586440302	0.28062441528094073	0.45340920689289704	0.4908921969570395	0.19858285937329131	0.49989766465382696	0.27144119360006314	0.3673875831745802	0.5008187170051315	0.3519005798911681	0.6511107664027743	0.5504290607604362	0.3034840909661419	0.5704253195378542	0.5437044521022844	0.432780831708985	0.5383074014287809	0.513628805805744	0.637620049305378	0.4835795189764192	0.46112483272410276	0.4858204082796048	0.6873410286412224	0.5894446093131332	0.5444083777542028	0.4280702447816999	0.5537256349127769	0.39080781026829375	0.6213719335172011	0.27830529432414947	0.5030626250691572	0.6053464047946208	0.5646979275432004
SBS4	0.3518013579093108	0.6618453339642287	0.34098011557506097	1.0	0.37012345535312524	0.621003160189382	0.23622309688057885	0.06515252830818043	0.8486025022845858	0.3014196634490963	0.35149583045923316	0.7465810300905987	0.19430760900555316	0.26158089946663104	0.3635163386678723	0.5287190997379246	0.26957302451045223	0.2875986706699654	0.1510197476074142	0.1837017758914366	0.23191450265195418	0.15137209305161087	0.1905820976971797	0.38345576591667335	0.3598169245675855	0.1601183701629508	0.4434140098907079	0.21278254892675216	0.5250449562763088	0.4991682498569838	0.5191897327175675	0.4388255069572246	0.40934638109628224	0.404210238243525	0.3285562639861308	0.286305792328214	0.530626994528412	0.2850100751592272	0.36953379163918837	0.24410952169230793	0.38673540983365573	0.4109826825461432	0.3636274900613187	0.3961534247756895	0.5487613810747409	0.37545664170131726	0.4077393133414455	0.4859452424810906	0.2581553096571466	0.42496529589225873	0.39318992708474565	0.4066716929173184	0.42034777908865495	0.3401965173795347	0.41016734879358413	0.4553048940208635	0.35829328541648253	0.3268316630597449	0.2994232068700369	0.3403440419584381	0.38118061912370255	0.5116956405706119	0.15766870140774963	0.32104049520409417	0.3719145909473887	0.45444320979279695
SBS5	0.5280180042894134	0.5778631202074281	0.36741073800409524	0.37012345535312524	1.0	0.5773291264157058	0.45843457763947376	0.21375795583566706	0.24611202430212728	0.4622524465878262	0.5176404503741234	0.26208474098096785	0.4865648125310391	0.2976744199910455	0.35662946221291963	0.29845623946601535	0.6829722786670491	0.3055350556491336	0.28929643592826765	0.3699246197463967	0.25762494301680605	0.17010080507011668	0.1568325686542638	0.30879335379292555	0.2831911680397594	0.2932812128123444	0.479098730631577	0.24589071126611575	0.454247900391068	0.46281725190150563	0.412270957292685	0.36225424948146684	0.5036213171948231	0.5135817350105496	0.39393518095726776	0.2423814847941231	0.3978227527372238	0.20515652565266224	0.34137625296075075	0.16333645157783538	0.31084594956102574	0.3289987671115823	0.33806479420722296	0.41469122573277195	0.2559682591926177	0.30341372160591507	0.4109333431458748	0.27114307175267344	0.2588837690422837	0.25057015403977434	0.3768355063752663	0.3050450073631565	0.3419433732148743	0.29039290734100004	0.38515805352823024	0.3374774773725377	0.3696845627206421	0.29108383091802664	0.21897503637106122	0.33682059395800024	0.33271315823533215	0.3583422906626918	0.18446055744547338	0.2841021987563826	0.4050849914951109	0.431193779197216
SBS6	0.5550741348483438	0.7294185559634614	0.5899444760736178	0.621003160189382	0.5773291264157058	0.9999999999999999	0.441856358134941	0.07934554709350995	0.43571931201111813	0.5522160054001752	0.5749994137223601	0.5350912881306185	0.25228717239960596	0.5776409747561138	0.5038900342610682	0.5004048686595242	0.4095282728587328	0.45633145980739676	0.2528692542214168	0.35616179001501536	0.4286047240936194	0.2911223682440138	0.2513657259951615	0.5897057849786963	0.549349504688604	0.2743341917605969	0.5929907971017293	0.36120136966672867	0.777877667061899	0.6578517215037061	0.6009024865136218	0.6064971920947114	0.6052019505517263	0.6035598051209763	0.47692543350903854	0.49255493988209076	0.5601875079266688	0.39098179360741386	0.5119283262093671	0.3247899790262347	0.5855633466185538	0.43882278332160973	0.5545618495841123	0.5461622225862603	0.5098981445302827	0.4427180767722386	0.5246122848760534	0.500105644005018	0.41481583209920203	0.4182150898206573	0.5184314903504502	0.5465859311151362	0.5295981061378592	0.46089561261870343	0.5748532239548917	0.5135510063213431	0.45048730839161644	0.45611797370480894	0.4779538833955137	0.43695525149915326	0.40941280431407995	0.6024882433096177	0.2418590451575781	0.44349800763137437	0.5501607833058748	0.5796748506504507
SBS7	0.9184260675402374	0.6286657053747293	0.716633107981057	0.23622309688057885	0.45843457763947376	0.441856358134941	1.0000000000000002	0.43315823581548646	0.18041056265553887	0.5490845820671062	0.4550263833025929	0.2544819730231866	0.6172288766161842	0.2580448850796948	0.49653178261730113	0.3325351615624492	0.545321999536575	0.6521972153859927	0.5149434895950629	0.43504618078077417	0.3790289065777054	0.14298636354668412	0.14793521000305807	0.38253171611580516	0.277496661141013	0.5330804857127805	0.5938318667671855	0.41143480941295835	0.2924493844040352	0.5366963325714329	0.5614830338013848	0.3425438427510634	0.5435184440079253	0.30694114005559564	0.20801761398907015	0.33611492653785263	0.3651871052152068	0.1499669374657245	0.5068616187700443	0.2727508037662962	0.26374873104604446	0.3963830159596582	0.26291260703761893	0.521139504456799	0.37519909418697306	0.21502635742412535	0.4695002296371093	0.45334206898743373	0.38458182939369334	0.4514929244918646	0.3632657587066827	0.46342346611286617	0.4427763347644235	0.35901545802462237	0.34093673568279276	0.47158678823009353	0.43538185337767693	0.4059587634100262	0.319571855161467	0.44900105082206065	0.44431286988345364	0.391834946846089	0.2170685792055121	0.3609622307527308	0.4767954491167329	0.40890537778542657
SBS8	0.5792211211362982	0.14981615005048174	0.07076635371612951	0.06515252830818043	0.21375795583566706	0.07934554709350995	0.43315823581548646	1.0	0.048541844455575606	0.18982354697692835	0.1089773982003385	0.05893049926192496	0.6736749429579217	0.09067399024602539	0.10793121448173264	0.05947967427467894	0.2193188861173757	0.13128261524900703	0.33795842241966956	0.08329626792692371	0.05168620469338673	0.03684865294233378	0.07459214942715016	0.0615241501747085	0.1394816954067811	0.10208341593421234	0.1885278169966295	0.23591067893073198	0.06959973928873167	0.2218570171788387	0.2569576016052855	0.08587980077746804	0.15440127436816042	0.24456867912414493	0.06092334071570002	0.11664627546543944	0.12775940550311443	0.038868968718279315	0.2533269804087612	0.0563371253158493	0.06857358679123093	0.06150161321510088	0.12211465412454997	0.12033425629423358	0.20398386742968655	0.08710834319056848	0.15772931579559632	0.15609754181817156	0.14046951852740544	0.07291043917176099	0.18641136366643146	0.20674957587305096	0.26251272920802926	0.09873558466052502	0.13013767472990906	0.09001474267647898	0.1050324903823817	0.20102270065479003	0.1614255058767081	0.13767255437243142	0.1776371450644882	0.09902399540340126	0.06291069534812965	0.16904256025355927	0.16016112809668182	0.15167310775015866
SBS9	0.2345126262634398	0.617810294506317	0.30822206190642815	0.8486025022845858	0.24611202430212728	0.43571931201111813	0.18041056265553887	0.048541844455575606	0.9999999999999998	0.2420893479858255	0.22751163040222025	0.7021125768117404	0.14455653096426044	0.24630743590591678	0.26420616280775433	0.39831795631556227	0.1698956913148399	0.2856574785839666	0.10038610838970406	0.10865523991111897	0.14630000486595535	0.07978591268085664	0.1877649585092702	0.30775956773330565	0.31121910831569316	0.0988239239033708	0.34875708779747705	0.16761705763658766	0.41548412752428887	0.3765604955650014	0.43911892882221853	0.2786426225493464	0.27853326959179014	0.3472397726350677	0.1347969028617239	0.20201902755508375	0.4967673937915417	0.14926711361796627	0.29268769108843196	0.14768295220608896	0.27833172088742797	0.3402790285577408	0.27108260046747523	0.34831282469759145	0.5093834986242489	0.3072982742272668	0.35833889239305033	0.4122846660586153	0.20422923986647562	0.33364684165379604	0.2924177047835953	0.30830233517260547	0.3730213932602417	0.27833596197265187	0.2981558989831383	0.3328712525648576	0.27349219165218164	0.2706250033070874	0.23003269795209588	0.27748226963781875	0.2609043843437162	0.41484592799594927	0.11411747872479801	0.21854160414975818	0.3646552604678226	0.3299720687354564
SBS10	0.6680775235977918	0.5845100927966456	0.6147364352720327	0.3014196634490963	0.4622524465878262	0.5522160054001752	0.5490845820671062	0.18982354697692835	0.2420893479858255	1.0000000000000002	0.6131675308037264	0.26856085109050604	0.4850589343017191	0.570252897629689	0.43489046799720277	0.37828657735329396	0.4224260641856552	0.5850405073564031	0.3565453018206226	0.4284833039433417	0.34070990334714396	0.19944866260968394	0.5814180564775075	0.45560128280711165	0.6099988652665129	0.38394619085862053	0.6934653426470888	0.2988601995295887	0.39611598638358164	0.6865166193724496	0.42348580350248494	0.5484697371437464	0.6828597922215914	0.5659594991522683	0.26067718114087385	0.3401350137038869	0.5980589116020649	0.27895042459933483	0.5191603202441982	0.29778244487015026	0.4773485202347375	0.46983981587720036	0.40517211849361334	0.5723989134118038	0.5016030060867499	0.40142268664266123	0.5845083965847458	0.48149443393531405	0.3706969692142753	0.4287462725873867	0.6626502482217568	0.5985320381835747	0.5885136495175072	0.5641437814361533	0.4813294760519033	0.5563079587912507	0.6492886923250839	0.5350261226333293	0.6320197013875525	0.6572355073620946	0.45357292422280504	0.5997905830006012	0.37443401965633355	0.5271979085558274	0.5935346655204294	0.5771564355694007
